product_id,source_url,avg_rating,review_count,Brand,Fragrance Family,Scent Type,Key Notes,Ingredients
P439406,https://www.sephora.com/product/kayali-vanilla-P439406?skuId=2163970&icid2=products%20grid:p439406:product,4.11,500,KAYALI,Warm & Spicy,Warm & Sweet Gourmands,"Vanilla Orchids, Tonka Absolute, Amber Woods","Sd Alcohol 40-B/Alcohol Denat., Fragrance/Parfum, Water / Aqua / Eau, Butyl Methoxydibenzoylmethane, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Ci 19140 (Yellow 5), Ci 60730 (Violet 2), Ci 14700 (Red 4), Citronellol, Coumarin, Limonene, Benzyl Salicylate"
P501198,https://www.sephora.com/product/paradoxe-eau-de-parfum-P501198?skuId=2591170&icid2=products%20grid:p501198:product,4.396,500,Prada,,,,"<p>Alcohol, Parfum/Fragrance, Aqua/Water/Eau, Limonene, Linalool, Benzyl Salicylate, Benzyl Alcohol, Methyl Anthranilate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Coumarin, Hydroxycitronellal, Citronellol, Geraniol, Citral, Tris(Tetramethylhydroxypiperidinol) Citrate, Farnesol, Benzyl Benzoate, CI 17200/Red 33.</p>"
P504364,https://www.sephora.com/product/glossier-glossier-you-eau-de-parfum-P504364?skuId=2649770&icid2=products%20grid:p504364:product,4.51,500,Glossier,Warm & Spicy,Warm & Sheer,"Pink Pepper, Iris, Abrox","Alcohol Denat., Fragrance/Parfum, Water/Aqua/Eau, Hydroxycitronellal, Farnesol, Limonene."
P504996,https://www.sephora.com/product/good-girl-blush-eau-de-parfum-P504996?skuId=2645026&icid2=products%20grid:p504996:product,4.37,500,Carolina Herrera,,,,"Alcohol Denat., Parfum (Fragrance), Aqua (Water), Hydroxycitronellal, Limonene, Benzyl Salicylate, Butyl Methoxydibenzoylmethane, Linalool, Hexyl Cinnamal, Citral, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Coumarin, Benzyl Benzoate, Benzyl Alcohol, Ci 14700 (Red 4), Ci 60730 (Ext. Violet 2)."
P509258,https://www.sephora.com/product/phlur-vanilla-skin-hair-body-fragrance-mist-P509258?skuId=2693349&icid2=products%20grid:p509258:product,4.03764705882353,425,PHLUR,,,,"<p>Alcohol Denat., Water/Eau/Aqua, Fragrance/Parfum, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Benzoate, Farnesol, Limonene.</p><p><br></p><p>.</p><p><br></p><p><em>The list of ingredients is subject to change, please consult the packaging of the product purchased.</em></p>"
P512449,https://www.sephora.com/product/kayali-yum-boujee-marshmallow-81-eau-de-parfum-intense-travel-spray-P512449?skuId=2804839&icid2=products%20grid:p512449:product,4.436,500,KAYALI,,,,"Sd Alcohol 40-B/ Alcohol Denat, Fragrance/Parfum, Water/Aqua/Eau, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Citral, Limonene, Linalool, Benzyl Benzoate. Voc: 70%."
P517178,https://www.sephora.com/product/rare-eau-de-parfum-P517178?skuId=2888188&icid2=products%20grid:p517178:product,4.41,500,Rare Beauty by Selena Gomez,,,,"Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Tetramethyl Acetyloctahydronaphthalenes, Vanillin, Benzyl Salicylate, Hydroxycitronellal, Polycitronellol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Limonene, Citrus Aurantium Peel Oil, Coumarin, Pinene, Rose Ketones, Benzyl Cinnamate, Isoeugenyl Acetate, Citral, Linalool, Trimethylcyclopentenyl Methylisopentenol, Terpinolene, beta-Caryophyllene, Anise Alcohol, Linalyl Acetate, Benzyl Alcohol, Benzyl Benzoate."
P520204,https://www.sephora.com/product/eilish-1-eau-de-parfum-P520204?skuId=2948495&icid2=products%20grid:p520204:product,4.086956521739131,23,EILISH FRAGRANCES,,,,"Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Citric Acid, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Propylene Glycol, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Benzyl Salicylate, Benzyl Benzoate, Limonene, Yellow 5 (Ci 19140), Red 4 (Ci 14700), Blue 1 (Ci 42090)."
P520824,https://www.sephora.com/product/donna-born-in-roma-purple-melancholia-P520824?skuId=2930154&icid2=products%20grid:p520824:product,4.678,500,Valentino,Florals,Warm Florals,"Mirabelle Plum, Jasmine Absolute, Madagascar Vanilla",
P520837,https://www.sephora.com/product/libre-berry-crush-P520837?skuId=2919744&icid2=products%20grid:p520837:product,4.638,500,Yves Saint Laurent,,,,"Alcohol, Parfum/Fragrance, Aqua/Water/Eau, Tetramethyl Acetyloctahydronaphthalenes, Vanillin, Hydroxycitronellal, Carvone, Limonene, Linalyl Acetate, Linalool, Benzyl Salicylate, Coumarin, Citrus Aurantium Bergamia Peel Oil, Butyl Methoxydibenzoylmethane, Benzyl Alcohol, Geraniol, Terpineol, Methyl Anthranilate, Citrus Limon Peel Oil, Geranyl Acetate, Citrus Aurantium Peel Oil, Pinene, Citronellol, Benzaldehyde, Rose Ketones, Citrus Aurantium Flower Oil, Citral, Lavandula Oil/Extract, Terpinolene, Hexadecanolactone, Isoeugenyl Acetate, Isoeugenol, Pogostemon Cablin Oil, Alpha-Isomethyl Ionone, Alpha-Terpinene, Beta-Caryophyllene, Ci 14700/Red 4, Ci 60730/Ext. Violet 2, Camphor, Ci 19140/Yellow 5."
